PLAYER_NAME,DRAFT_YEAR,TEAM,COLLEGE,PICK_NUMBER,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,COUNTRY,TEAM_ABBREVIATION,TEAM_CITY
Mike James,Undrafted,Heat,,Undrafted,Guard,6-2,188,1975-06-23T00:00:00,USA,MIA,Miami
George Johnson,1970,Rockets,,9,Center,6-11,245,1947-06-19T00:00:00,USA,HOU,Houston
Walker Russell,1982,Pistons,,78,Guard,6-5,195,1960-10-26T00:00:00,USA,DET,Detroit
Willie Jones,1960,Pistons,,36,Guard,6-3,185,1936-06-29T00:00:00,USA,DET,Detroit
Bear, The Body Hoffman,1947,Raptors,,60,Guard,6-2,195,1925-05-05T00:00:00,USA,TOR,Toronto
