Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
16,Damian Lillard,34,MIL,PG,58,58,36.1,07.lip,17.sty,0.448,03.kwi,9.0,0.376,04.mar,08.sty,0.528,0.547,06.lut,06.sie,0.921,0.5,04.lut,04.lip,07.sty,01.lut,0.2,02.sie,01.lip,24.wrz,AS
17,Anthony Davis,31,2TM,PF,51,51,33.5,09.lut,17.sie,0.516,0.7,02.kwi,0.282,08.maj,15.kwi,0.553,0.536,05.cze,07.lut,0.775,02.cze,08.wrz,11.cze,03.maj,01.lut,02.lut,02.lut,01.wrz,24.lip,AS
18,Anthony Davis,31,LAL,C,42,42,34.3,09.maj,18.0,0.528,0.7,02.lut,0.298,08.wrz,15.sie,0.56,0.546,6.0,07.cze,0.788,02.sie,9.0,11.wrz,03.kwi,01.mar,02.sty,02.lut,2.0,25.lip,
19,Anthony Davis,31,DAL,PF,9,9,29.cze,07.sie,16.wrz,0.461,0.8,03.mar,0.233,7.0,13.cze,0.516,0.484,03.lip,05.mar,0.688,01.lip,08.kwi,10.sty,04.kwi,0.6,02.lut,02.lut,01.sie,20.0,
20,Kyrie Irving,32,DAL,SG,50,50,36.1,08.wrz,18.wrz,0.473,02.wrz,07.lut,0.401,06.sty,11.lip,0.517,0.549,03.wrz,04.mar,0.916,01.lut,03.cze,04.sie,04.cze,01.mar,0.5,02.lut,2.0,24.lip,"CPOY-10,AS"
21,Zion Williamson,24,NOP,PF,30,30,28.cze,09.cze,16.wrz,0.567,0.1,0.4,0.231,09.maj,16.maj,0.576,0.57,05.mar,8.0,0.656,02.maj,04.lip,07.lut,05.mar,01.lut,0.9,3.0,02.lip,24.cze,
22,Stephen Curry,36,GSW,PG,70,70,32.2,08.sty,18.0,0.448,04.kwi,11.lut,0.397,03.cze,06.sie,0.534,0.572,4.0,04.mar,0.933,0.6,03.wrz,04.kwi,6.0,01.sty,0.4,02.wrz,01.kwi,24.maj,"MVP-9,CPOY-5,AS,NBA2"
23,LeBron James,40,LAL,SF,70,70,34.9,09.mar,18.sty,0.513,02.sty,05.lip,0.376,07.lut,12.maj,0.574,0.571,03.lip,04.lip,0.782,1.0,06.sie,07.sie,08.lut,1.0,0.6,03.lip,01.kwi,24.kwi,"MVP-6,CPOY-7,AS,NBA2"
24,Karl-Anthony Towns,29,NYK,C,72,72,35.0,08.wrz,16.wrz,0.526,2.0,04.lip,0.42,06.wrz,12.lut,0.567,0.584,04.lip,05.lip,0.829,02.wrz,09.sie,12.sie,03.sty,1.0,0.7,02.lip,03.maj,24.kwi,"AS,NBA3"
25,Victor Wembanyama,21,SAS,C,46,46,33.2,08.wrz,18.cze,0.476,03.sty,08.sie,0.352,05.sie,09.wrz,0.586,0.559,03.kwi,04.sty,0.836,01.sie,09.lut,11.0,03.lip,01.sty,03.sie,03.lut,02.mar,24.mar,AS
26,Franz Wagner,23,ORL,SF,60,60,33.7,9.0,19.kwi,0.463,01.lip,05.wrz,0.295,07.lut,13.maj,0.535,0.507,04.maj,05.lut,0.871,0.9,04.sie,05.lip,04.lip,01.mar,0.4,02.mar,02.maj,24.lut,
27,Trae Young,26,ATL,PG,76,76,36.0,07.kwi,18.sty,0.411,02.wrz,08.kwi,0.34,04.cze,09.lip,0.474,0.491,06.maj,07.kwi,0.875,0.5,02.cze,03.sty,11.cze,01.lut,0.2,04.lip,01.wrz,24.lut,"CPOY-4,AS"
